id,duration_months,credit_amount,installment_rate,present_residence_since,age_years,number_existing_credits,checking_status,credit_history,purpose,savings_account,present_employment_since,debtors_guarantors,property,installment_plans,housing,job,number_people_liable,telephone,foreign_worker,gender,label_value,score
175,30,7485.0,4,1,53,1,A14,A31,A41,A65,A71,A101,A121,A141,A152,A174,1,A192,False,female,1,0
14,15,1403.0,2,4,28,1,A11,A32,A40,A61,A73,A101,A123,A143,A151,A173,1,A191,False,female,0,1
77,11,4771.0,2,4,51,1,A12,A33,A43,A61,A74,A101,A122,A143,A152,A173,1,A191,False,male,0,0
31,24,4020.0,2,2,27,1,A11,A32,A42,A61,A73,A101,A123,A142,A152,A173,1,A191,False,male,0,1
481,24,1201.0,4,1,26,1,A12,A32,A40,A61,A72,A101,A122,A143,A152,A173,1,A191,False,male,0,1
310,48,5381.0,3,4,40,1,A12,A32,A410,A65,A71,A101,A124,A141,A153,A171,1,A192,False,male,0,1
311,24,5511.0,4,1,25,1,A14,A32,A42,A62,A73,A101,A123,A142,A152,A173,1,A191,False,male,0,0
883,18,1098.0,4,4,65,2,A14,A34,A43,A61,A71,A101,A123,A143,A152,A171,1,A191,False,female,0,0
788,48,6224.0,4,4,50,1,A12,A33,A46,A61,A75,A101,A124,A143,A153,A173,1,A191,False,male,1,1
45,11,1393.0,4,4,35,2,A14,A34,A40,A61,A72,A101,A123,A143,A152,A174,1,A191,False,female,0,0
103,9,1919.0,4,3,35,1,A12,A34,A42,A61,A74,A101,A123,A143,A151,A173,1,A192,False,male,0,1
760,15,5045.0,1,4,59,1,A14,A34,A40,A65,A75,A101,A123,A143,A152,A173,1,A192,False,female,0,0
1,48,5951.0,2,2,22,1,A12,A32,A43,A61,A73,A101,A121,A143,A152,A173,1,A191,False,female,1,0
823,8,731.0,4,4,47,2,A11,A34,A40,A61,A75,A101,A121,A143,A152,A172,1,A191,False,male,0,1
710,18,629.0,4,3,32,2,A14,A34,A43,A63,A75,A101,A122,A141,A152,A174,1,A192,False,male,0,0
614,18,1808.0,4,1,22,1,A14,A33,A42,A61,A74,A101,A121,A143,A152,A173,1,A191,False,female,1,0
790,21,1188.0,2,4,39,1,A12,A32,A49,A61,A75,A101,A122,A143,A152,A173,2,A191,False,female,1,1
408,24,3235.0,3,2,26,1,A14,A32,A43,A63,A75,A101,A123,A143,A152,A174,1,A192,False,male,0,0
736,24,11560.0,1,4,23,2,A12,A32,A41,A61,A73,A101,A123,A143,A151,A174,1,A191,False,female,1,1
957,9,1154.0,2,4,37,3,A12,A34,A43,A61,A75,A101,A121,A143,A152,A172,1,A191,False,male,0,0
366,18,3850.0,3,1,27,2,A14,A34,A41,A61,A74,A101,A123,A143,A152,A173,1,A191,False,male,0,0
918,24,2359.0,1,1,33,1,A11,A32,A42,A62,A71,A101,A122,A143,A152,A173,1,A191,False,male,1,1
267,24,1533.0,4,3,38,1,A14,A32,A43,A61,A72,A101,A123,A142,A152,A173,1,A192,False,female,0,0
230,36,4210.0,4,2,26,1,A13,A32,A43,A61,A73,A101,A123,A143,A152,A173,1,A191,False,male,1,1
996,30,3857.0,4,4,40,1,A11,A32,A41,A61,A73,A101,A122,A143,A152,A174,1,A192,False,male,0,1
635,12,1393.0,4,4,47,3,A14,A32,A46,A61,A75,A101,A122,A141,A152,A173,2,A192,False,male,0,0
698,18,1800.0,4,2,24,2,A14,A34,A43,A61,A73,A101,A123,A143,A152,A173,1,A191,False,male,0,0
251,12,2251.0,1,2,46,1,A13,A32,A42,A61,A73,A101,A123,A143,A152,A172,1,A191,False,female,0,1
783,12,836.0,4,2,23,1,A12,A32,A40,A62,A72,A101,A122,A141,A152,A172,1,A191,False,female,1,1
819,18,1345.0,4,3,26,1,A11,A32,A43,A61,A73,A101,A121,A141,A152,A173,1,A191,False,male,1,1
141,36,4795.0,4,1,30,1,A12,A32,A43,A61,A72,A101,A124,A143,A152,A174,1,A192,False,female,0,1
316,12,708.0,2,3,38,1,A11,A32,A42,A61,A73,A103,A122,A143,A152,A172,2,A191,False,male,0,1
587,12,1289.0,4,1,21,1,A11,A32,A42,A61,A73,A103,A122,A143,A152,A172,1,A191,False,male,0,1
331,18,1864.0,4,2,30,2,A14,A34,A46,A62,A73,A101,A121,A143,A152,A173,1,A191,False,female,1,0
295,48,9960.0,1,2,26,1,A12,A32,A42,A61,A72,A101,A123,A143,A152,A173,1,A192,False,female,1,1
262,18,5302.0,2,4,36,3,A11,A34,A40,A61,A75,A101,A124,A143,A153,A174,1,A192,False,male,0,1
432,6,1872.0,4,4,36,3,A11,A34,A42,A61,A71,A101,A124,A143,A153,A174,1,A192,False,male,0,1
862,24,2439.0,4,4,35,1,A11,A32,A43,A61,A72,A101,A121,A143,A152,A173,1,A192,False,female,1,1
582,9,1388.0,4,2,26,1,A14,A32,A42,A61,A73,A101,A121,A143,A151,A173,1,A191,False,female,0,0
272,48,12169.0,4,4,36,1,A12,A31,A40,A65,A71,A102,A124,A143,A153,A174,1,A192,False,male,0,1
270,18,2662.0,4,3,32,1,A14,A32,A40,A65,A74,A101,A122,A143,A152,A173,1,A191,True,male,0,0
987,13,1409.0,2,4,64,1,A14,A32,A43,A62,A71,A101,A121,A143,A152,A173,1,A191,False,female,0,0
319,15,3643.0,1,4,27,2,A11,A33,A42,A61,A75,A101,A122,A143,A152,A172,1,A191,False,female,0,1
569,48,6758.0,3,2,31,1,A11,A32,A43,A61,A73,A101,A123,A143,A152,A173,1,A192,False,female,1,1
643,24,1851.0,4,2,33,2,A14,A34,A43,A61,A74,A103,A123,A143,A152,A173,1,A192,False,male,0,0
142,27,3416.0,3,2,27,1,A11,A32,A43,A61,A73,A101,A123,A143,A152,A174,1,A191,False,male,0,1
202,27,5117.0,3,4,26,2,A14,A33,A49,A61,A74,A101,A123,A143,A152,A173,1,A191,False,male,0,0
413,10,1597.0,3,2,40,1,A14,A32,A40,A63,A73,A101,A124,A143,A151,A172,2,A191,True,male,0,0
196,6,1382.0,1,1,28,2,A14,A34,A43,A61,A73,A101,A123,A143,A152,A173,1,A192,False,female,0,0
264,10,1231.0,3,4,32,2,A14,A34,A40,A61,A75,A101,A121,A143,A152,A172,2,A191,True,male,0,0
531,15,2631.0,2,4,28,2,A12,A32,A40,A62,A73,A101,A123,A143,A151,A173,1,A192,False,female,1,1
252,30,2150.0,4,2,24,1,A12,A32,A40,A61,A73,A103,A124,A141,A152,A173,1,A191,False,female,1,1
576,12,2930.0,2,1,27,1,A12,A32,A43,A61,A74,A101,A121,A143,A152,A173,1,A191,False,female,0,0
738,6,6761.0,1,3,45,2,A14,A34,A40,A61,A74,A101,A124,A143,A152,A174,2,A192,False,male,0,0
299,21,2745.0,3,2,32,2,A12,A34,A42,A64,A74,A101,A123,A143,A152,A173,1,A192,False,male,0,0
740,24,2325.0,2,3,32,1,A11,A31,A40,A62,A74,A101,A123,A141,A152,A173,1,A191,False,male,0,1
247,6,1204.0,4,1,35,1,A14,A30,A40,A62,A73,A101,A124,A141,A151,A173,1,A191,True,male,0,1
926,18,1049.0,4,4,21,1,A11,A34,A42,A61,A72,A101,A122,A143,A151,A173,1,A191,False,female,0,1
412,12,2292.0,4,2,42,2,A14,A34,A49,A61,A71,A101,A123,A142,A152,A174,1,A192,False,male,1,0
389,9,1449.0,3,2,27,2,A14,A32,A49,A61,A74,A101,A123,A143,A152,A173,1,A191,False,female,0,0
796,18,7511.0,1,4,51,1,A11,A32,A41,A65,A75,A101,A122,A143,A153,A173,2,A192,False,male,1,0
601,9,918.0,4,1,30,1,A12,A32,A42,A61,A73,A101,A122,A143,A152,A173,1,A191,False,female,1,1
654,24,2346.0,4,3,35,2,A14,A34,A41,A61,A74,A101,A123,A143,A152,A173,1,A192,False,male,0,0
261,24,1603.0,4,4,55,1,A11,A32,A43,A61,A75,A101,A123,A143,A152,A173,1,A191,False,female,0,1
456,11,3905.0,2,2,36,2,A11,A34,A40,A61,A73,A101,A121,A143,A151,A173,2,A191,False,male,0,1
386,18,1126.0,4,2,21,1,A14,A32,A43,A65,A72,A101,A121,A143,A151,A173,1,A192,False,female,0,0
982,21,2923.0,1,1,28,1,A13,A32,A40,A62,A73,A101,A123,A141,A152,A174,1,A192,False,female,0,1
909,9,3195.0,1,2,33,1,A12,A32,A40,A65,A73,A101,A121,A143,A152,A172,1,A191,False,female,0,0
693,6,4716.0,1,3,44,2,A11,A34,A40,A65,A72,A101,A121,A143,A152,A172,2,A191,False,male,0,0
236,6,14555.0,1,2,23,1,A12,A32,A40,A65,A71,A101,A122,A143,A152,A171,1,A192,False,male,1,0
501,36,5493.0,2,4,42,1,A11,A32,A41,A61,A75,A101,A124,A143,A153,A173,2,A191,False,male,0,1
497,24,1585.0,4,3,40,2,A14,A34,A42,A61,A74,A101,A122,A143,A152,A173,1,A191,False,male,0,0
874,12,3590.0,2,2,29,1,A11,A32,A42,A61,A73,A102,A122,A143,A152,A172,2,A191,False,male,0,1
452,12,2759.0,2,4,34,2,A14,A30,A42,A61,A75,A101,A122,A143,A152,A173,1,A191,False,male,0,0
494,12,2122.0,3,2,39,2,A11,A34,A40,A61,A73,A101,A121,A143,A151,A172,2,A191,True,male,0,1
923,12,2002.0,3,4,30,1,A12,A32,A40,A61,A74,A101,A122,A143,A151,A173,2,A192,False,male,0,1
279,24,1901.0,4,4,29,1,A14,A32,A43,A62,A73,A101,A123,A143,A151,A174,1,A192,False,male,0,0
638,12,1493.0,4,3,34,1,A14,A32,A43,A61,A72,A101,A123,A143,A152,A173,2,A191,False,female,0,0
485,6,1209.0,4,4,47,1,A12,A33,A40,A61,A71,A101,A122,A143,A152,A174,1,A192,False,male,1,1
568,48,3979.0,4,1,41,2,A12,A32,A43,A65,A74,A101,A123,A143,A152,A173,2,A192,False,male,0,0
108,24,7721.0,1,2,30,1,A11,A32,A42,A65,A72,A101,A122,A143,A152,A173,1,A192,True,female,0,0
367,18,3650.0,1,4,22,1,A11,A32,A42,A61,A72,A101,A123,A143,A151,A173,1,A191,False,female,0,1
644,18,1880.0,4,1,32,2,A11,A34,A43,A61,A74,A101,A122,A143,A152,A174,1,A192,False,male,0,1
785,18,1941.0,4,2,35,1,A12,A32,A49,A64,A73,A101,A122,A143,A152,A172,1,A192,False,male,0,1
873,15,874.0,4,1,24,1,A14,A32,A44,A65,A72,A101,A121,A143,A152,A173,1,A191,False,female,0,0
65,27,5190.0,4,4,48,4,A14,A32,A45,A65,A75,A101,A122,A143,A152,A173,2,A192,False,male,0,0
902,36,10477.0,2,4,42,2,A14,A34,A41,A65,A75,A101,A124,A143,A153,A173,1,A191,False,male,0,0
317,24,4351.0,1,4,48,1,A12,A32,A42,A65,A73,A101,A122,A143,A152,A172,1,A192,False,female,0,0
636,24,1376.0,4,1,28,1,A14,A32,A43,A63,A74,A101,A123,A143,A152,A173,1,A191,False,female,0,0
666,30,3496.0,4,2,34,1,A12,A31,A42,A64,A73,A101,A123,A142,A152,A173,2,A192,False,male,0,1
789,40,5998.0,4,3,27,1,A11,A34,A46,A61,A73,A101,A124,A141,A152,A173,1,A192,False,male,1,1
958,28,4006.0,3,2,45,1,A11,A32,A40,A61,A73,A101,A123,A143,A152,A172,1,A191,False,male,1,1
214,36,3342.0,4,2,51,1,A14,A34,A43,A65,A75,A101,A123,A143,A152,A173,1,A192,False,male,0,0
97,18,2622.0,4,4,34,1,A12,A32,A49,A62,A73,A101,A123,A143,A152,A173,1,A191,False,male,0,1
583,36,2384.0,4,1,33,1,A12,A32,A45,A61,A72,A101,A124,A143,A151,A172,1,A191,False,male,1,1
466,24,1659.0,4,2,29,1,A11,A33,A43,A61,A72,A101,A123,A143,A151,A172,1,A192,False,female,1,1
523,24,3488.0,3,4,23,1,A14,A32,A41,A62,A74,A101,A123,A143,A152,A173,1,A191,False,female,0,0
255,60,7418.0,1,1,27,1,A12,A33,A43,A65,A73,A101,A121,A143,A152,A172,1,A191,False,male,0,0
385,18,2238.0,2,1,25,2,A14,A34,A43,A61,A73,A101,A123,A143,A152,A173,1,A191,False,female,0,0
545,24,1333.0,4,2,43,2,A11,A33,A40,A61,A71,A101,A121,A143,A153,A173,2,A191,False,male,1,1
382,22,1283.0,4,4,25,1,A14,A32,A40,A65,A74,A101,A122,A143,A151,A173,1,A191,False,female,0,0
489,6,3518.0,2,3,26,1,A14,A32,A40,A61,A73,A103,A122,A143,A151,A173,1,A191,False,male,0,0
513,12,585.0,4,4,20,2,A12,A33,A43,A61,A73,A102,A121,A143,A151,A173,1,A191,False,male,0,1
780,39,4933.0,2,2,25,2,A12,A34,A43,A61,A74,A103,A121,A143,A152,A173,1,A191,False,male,1,0
904,24,1278.0,4,1,36,1,A14,A32,A43,A61,A75,A101,A121,A143,A152,A174,1,A192,False,male,0,0
122,12,1768.0,3,2,24,1,A14,A32,A42,A61,A73,A101,A121,A143,A151,A172,1,A191,False,male,0,0
946,24,3349.0,4,4,30,1,A11,A31,A42,A63,A72,A101,A124,A143,A153,A173,2,A192,False,male,1,1
60,9,1391.0,2,1,27,1,A12,A32,A49,A61,A73,A101,A121,A141,A152,A173,1,A192,False,male,0,1
844,18,3422.0,4,4,47,3,A14,A32,A42,A61,A75,A101,A122,A141,A152,A173,2,A192,False,male,0,0
372,10,2146.0,1,3,23,2,A14,A34,A42,A61,A72,A101,A121,A143,A151,A173,1,A191,False,female,0,0
283,15,1520.0,4,4,63,1,A14,A34,A42,A65,A75,A101,A122,A143,A152,A173,1,A191,False,male,0,0
939,24,6842.0,2,4,46,2,A14,A34,A41,A65,A73,A101,A122,A143,A152,A174,2,A192,False,male,0,0
608,18,2051.0,4,1,33,1,A14,A32,A43,A61,A72,A101,A121,A143,A152,A173,1,A191,False,male,0,0
495,24,2996.0,2,4,20,1,A11,A32,A42,A65,A73,A101,A123,A143,A152,A173,1,A191,False,male,1,1
630,24,3660.0,2,4,28,1,A11,A32,A43,A61,A73,A101,A123,A143,A152,A173,1,A191,False,female,0,1
596,24,1442.0,4,4,23,2,A11,A32,A40,A61,A74,A101,A123,A143,A151,A173,1,A191,False,female,1,1
713,9,1138.0,4,4,25,2,A11,A34,A43,A61,A73,A101,A121,A143,A152,A172,1,A191,False,male,0,0
753,30,5771.0,4,2,25,2,A14,A34,A43,A61,A74,A101,A123,A143,A152,A173,1,A191,False,female,0,0
624,18,2600.0,4,4,65,2,A11,A32,A43,A61,A73,A101,A124,A143,A153,A173,1,A191,False,male,1,1
312,24,3749.0,2,4,26,1,A13,A32,A42,A61,A72,A101,A123,A143,A152,A173,1,A191,False,female,0,1
8,12,3059.0,2,4,61,1,A14,A32,A43,A64,A74,A101,A121,A143,A152,A172,1,A191,False,male,0,0
529,6,662.0,3,4,41,1,A11,A32,A40,A61,A72,A101,A121,A143,A152,A172,2,A192,False,male,0,1
876,18,1940.0,3,4,36,1,A11,A31,A43,A61,A72,A102,A124,A141,A153,A174,1,A192,False,male,0,1
101,36,2323.0,4,4,24,1,A12,A32,A43,A61,A74,A101,A123,A143,A151,A173,1,A191,False,male,0,1
615,48,12204.0,2,2,48,1,A12,A30,A49,A65,A73,A101,A123,A141,A152,A174,1,A192,False,male,0,1
520,24,5507.0,3,4,44,2,A14,A34,A45,A61,A75,A101,A124,A143,A153,A173,1,A191,False,male,0,0
249,18,433.0,3,4,22,1,A14,A32,A43,A61,A71,A102,A121,A143,A151,A173,1,A191,False,female,1,0
278,6,4611.0,1,4,32,1,A14,A32,A42,A61,A72,A101,A122,A143,A152,A173,1,A191,False,female,1,0
424,12,2762.0,1,2,25,1,A12,A32,A42,A65,A75,A101,A122,A141,A152,A173,1,A192,False,female,1,0
384,30,4272.0,2,2,26,2,A14,A33,A49,A62,A73,A101,A122,A143,A152,A172,1,A191,False,male,0,0
395,39,11760.0,2,3,32,1,A12,A33,A46,A62,A74,A101,A124,A143,A151,A173,1,A192,False,male,0,1
54,36,2225.0,4,4,57,2,A12,A33,A40,A61,A75,A101,A124,A141,A153,A173,1,A192,False,male,1,1
34,12,1474.0,4,1,33,1,A13,A32,A42,A61,A72,A101,A122,A141,A152,A174,1,A192,False,female,0,1
271,12,1402.0,3,4,37,1,A14,A34,A42,A63,A74,A101,A123,A143,A151,A173,1,A192,False,female,0,0
30,18,1913.0,3,3,36,1,A12,A32,A49,A64,A72,A101,A121,A141,A152,A173,1,A192,False,male,0,1
403,14,802.0,4,2,27,2,A14,A33,A40,A61,A73,A101,A123,A143,A152,A172,1,A191,False,male,0,0
757,15,1271.0,3,4,39,2,A13,A34,A43,A65,A73,A101,A124,A143,A153,A173,1,A192,False,male,1,0
975,24,1258.0,3,3,57,1,A13,A32,A43,A63,A73,A101,A123,A143,A152,A172,1,A191,False,female,0,0
990,12,3565.0,2,1,37,2,A14,A34,A46,A65,A72,A101,A122,A143,A152,A172,2,A191,False,male,0,0
457,12,3386.0,3,4,35,1,A11,A32,A41,A61,A75,A101,A124,A143,A153,A173,1,A192,False,male,1,1
362,12,2247.0,2,2,36,2,A13,A33,A40,A61,A73,A101,A123,A142,A152,A173,1,A192,False,female,0,1
860,24,5804.0,4,2,27,2,A14,A34,A41,A64,A73,A101,A121,A143,A152,A173,1,A191,False,male,0,0
483,15,960.0,3,2,30,2,A14,A33,A42,A64,A74,A101,A122,A143,A152,A173,1,A191,False,female,0,0
580,18,1056.0,3,3,30,2,A12,A34,A40,A61,A75,A103,A121,A141,A152,A173,1,A191,False,male,1,0
986,42,6289.0,2,1,33,2,A13,A30,A49,A61,A72,A101,A122,A143,A152,A173,1,A191,False,male,0,1
688,9,2753.0,3,4,35,1,A14,A32,A43,A62,A75,A102,A123,A143,A152,A173,1,A192,False,male,0,0
864,10,2210.0,2,2,25,1,A14,A32,A42,A61,A73,A101,A121,A141,A151,A172,1,A191,False,male,1,0
927,48,10297.0,4,4,39,3,A11,A32,A41,A61,A74,A101,A124,A142,A153,A173,2,A192,False,male,1,1
378,36,14318.0,4,2,57,1,A12,A32,A40,A61,A75,A101,A124,A143,A153,A174,1,A192,False,male,1,1
320,30,4249.0,4,2,28,2,A12,A34,A40,A61,A71,A101,A123,A143,A152,A174,1,A191,False,male,1,1
942,24,929.0,4,2,31,1,A14,A32,A42,A65,A74,A101,A123,A142,A152,A173,1,A192,False,male,0,0
351,9,959.0,1,2,29,1,A12,A32,A42,A61,A73,A101,A123,A143,A152,A173,1,A191,True,female,1,1
418,21,2782.0,1,2,31,1,A14,A32,A40,A63,A74,A101,A123,A141,A152,A174,1,A191,False,female,0,0
945,48,8358.0,1,1,30,2,A12,A30,A40,A63,A72,A101,A123,A143,A152,A173,1,A191,False,female,0,1
795,9,2301.0,2,4,22,1,A14,A32,A42,A62,A72,A101,A122,A143,A151,A173,1,A191,False,female,0,0
145,48,3566.0,4,2,30,1,A12,A31,A49,A62,A74,A101,A123,A143,A152,A173,1,A191,False,male,0,1
826,18,3966.0,1,4,33,3,A11,A34,A40,A61,A75,A101,A121,A141,A151,A173,1,A192,False,female,1,1
492,6,1237.0,1,1,27,2,A14,A34,A43,A62,A73,A101,A122,A143,A152,A173,1,A191,False,female,0,0
751,18,976.0,1,2,23,1,A11,A32,A40,A61,A72,A101,A123,A143,A152,A172,1,A191,False,female,1,1
240,24,915.0,4,2,29,1,A11,A32,A40,A65,A75,A101,A123,A141,A152,A173,1,A191,False,female,1,1
648,24,947.0,4,3,38,1,A13,A32,A40,A61,A74,A101,A124,A141,A153,A173,2,A191,False,male,1,1
886,24,2825.0,4,3,34,2,A12,A34,A49,A65,A74,A101,A124,A143,A152,A173,2,A192,False,male,0,0
144,21,2288.0,4,4,23,1,A14,A34,A42,A61,A72,A101,A122,A143,A152,A173,1,A192,False,female,0,0
767,10,2901.0,1,4,31,1,A14,A32,A41,A65,A72,A101,A121,A143,A151,A173,1,A191,False,female,0,0
999,45,4576.0,3,4,27,1,A12,A34,A41,A62,A71,A101,A123,A143,A152,A173,1,A191,False,male,0,0
467,48,7238.0,3,3,32,2,A14,A33,A43,A65,A75,A101,A123,A141,A152,A173,2,A191,False,male,0,0
315,36,2746.0,4,4,31,1,A11,A31,A42,A61,A75,A101,A123,A141,A152,A173,1,A191,False,male,1,1
989,24,1743.0,4,2,48,2,A12,A34,A43,A61,A75,A101,A122,A143,A152,A172,1,A191,False,male,0,0
922,9,1366.0,3,4,22,1,A11,A32,A43,A61,A72,A101,A122,A143,A151,A173,1,A191,False,female,1,1
717,18,1505.0,4,2,32,1,A14,A32,A43,A61,A73,A101,A124,A143,A153,A174,1,A192,False,male,0,1
458,6,343.0,4,1,27,1,A11,A32,A44,A61,A72,A101,A121,A143,A152,A173,1,A191,False,female,0,1
773,24,2223.0,4,4,52,2,A14,A34,A43,A62,A75,A101,A122,A141,A152,A173,1,A191,False,male,0,0
204,12,1495.0,4,1,38,2,A14,A34,A40,A61,A75,A101,A121,A143,A152,A172,2,A191,False,male,0,0
834,15,2327.0,2,3,25,1,A13,A32,A43,A61,A72,A101,A121,A143,A152,A172,1,A191,False,female,1,0
832,45,11816.0,2,4,29,2,A11,A30,A49,A61,A75,A101,A123,A143,A151,A173,1,A191,False,male,1,1
435,12,1484.0,2,1,25,1,A12,A32,A43,A65,A73,A101,A121,A143,A152,A173,1,A192,False,male,1,0
5,36,9055.0,2,4,35,1,A14,A32,A46,A65,A73,A101,A124,A143,A153,A172,2,A192,False,male,0,0
769,12,1655.0,2,4,63,2,A14,A34,A43,A61,A75,A101,A121,A143,A152,A172,1,A192,False,male,0,0
679,18,1453.0,3,1,26,1,A14,A32,A43,A61,A72,A101,A121,A143,A152,A173,1,A191,False,female,0,0
722,12,1228.0,4,2,24,1,A11,A32,A40,A61,A73,A101,A121,A143,A152,A172,1,A191,False,female,1,1
215,6,932.0,1,3,39,2,A12,A34,A48,A65,A74,A101,A122,A143,A152,A172,1,A191,False,female,0,0
653,36,8086.0,2,4,42,4,A12,A33,A40,A62,A75,A101,A123,A143,A152,A174,1,A192,False,male,1,1
150,6,1346.0,2,4,42,1,A14,A32,A43,A62,A75,A101,A124,A141,A153,A173,2,A192,False,male,0,0
